id,Name,d bore,D outside,B,dynamic (kN),static (kN),Reference speed (r/min),Limiting speed (r/min)
1551,618/500 MA,500,620,56,332,620,1800,1500
1552,619/500 MA,500,670,78,462,865,1700,1400
1553,360476 A,530,760,100,585,1120,1500,950
1554,618/530 MA,530,650,56,332,655,1700,1400
1555,619/530 MA,530,710,82,488,930,1600,1300
1556,60/560 N1MAS,560,820,115,663,1370,1400,1200
1557,608/560 MA,560,680,37,229,465,1600,1300
1558,618/560 MA,560,680,56,345,695,1600,1300
1559,619/560 MA,560,750,85,494,980,1500,1200
1560,608/600 MA,600,730,42,265,550,1500,1200
1561,618/600 MA,600,730,60,364,765,1500,1200
1562,619/600 MA,600,800,90,585,1220,1400,1100
1563,60/630 N1MBS,630,920,128,819,1760,1200,1000
1564,608/630 MA,630,780,48,364,765,1400,1100
1565,618/630 MA,630,780,69,442,965,1400,1100
1566,619/630 N1MA,630,850,100,624,1340,1300,1100
1567,306708 D,650,920,118,780,1730,1200,750
1568,60/670 N1MAS,670,980,136,904,2040,1100,900
1569,618/670 MA,670,820,69,442,1000,1300,1100
1570,618/670 TN,670,820,69,436,965,1300,800
1571,619/670 MA,670,900,103,676,1500,1200,1000
1572,306704 C,710,1000,140,832,1900,1100,670
1573,360141,710,1080,160,1040,2400,1000,630
1574,60/710 MA,710,1030,140,956,2200,1000,850
1575,618/710 M,710,870,74,475,1100,1200,1000
1576,618/710 MA,710,870,74,475,1100,1200,1000
1577,618/750 MA,750,920,78,527,1250,1100,900
1578,619/750 MA,750,1000,112,761,1800,1000,850
1579,306474 D,760,1080,150,923,2200,950,600
1580,361844,800,1080,115,819,2040,950,600
1581,60/800 N1MAS,800,1150,155,1010,2550,900,750
1582,608/800 MA,800,980,57,403,1000,1000,850
1583,618/800 MA,800,980,82,559,1370,1000,850
1584,619/800 MA,800,1060,115,832,2040,950,800
1585,306493 AA,850,1220,165,1040,2700,800,500
1586,618/850 MA,850,1030,82,559,1430,950,750
1587,618/900 MA,900,1090,85,618,1600,850,700
1588,618/950 MA,950,1150,90,637,1730,800,670
1589,618/1000 MA,1000,1220,100,637,1800,750,600
1590,60/1060 MB,1060,1500,195,1530,4500,600,500
1591,618/1060 MA,1060,1280,100,728,2120,670,560
1592,618/1060 TN,1060,1280,100,728,2120,670,430
1593,618/1120 MA,1120,1360,106,741,2200,630,530
1594,618/1180 MB,1180,1420,106,761,2360,560,480
1595,618/1320 MA,1320,1600,122,956,3150,480,400
1596,618/1500 TN,1500,1820,140,1170,4150,380,240
1597,618/1700 MB,1700,2060,160,1270,4900,300,240
